Datum,Wochenmittel,Jahresgang,Anomalie
1997-02-20,3.7714285714285714,1.9151672946829565,1.8562612767456148
1997-02-27,7.814285714285716,2.540076059493823,5.274209654791893
1997-03-06,7.3,3.2636798861981218,4.036320113801878
1997-03-13,6.428571428571428,4.075001089495384,2.353570339076044
1997-03-20,3.4,4.961731236899899,-1.5617312368998992
1997-03-27,4.571428571428571,5.910417878126846,-1.3389893066982745
1997-04-03,7.314285714285715,6.9066686302011675,0.40761708408454744
1997-04-10,5.485714285714286,7.935369522144524,-2.449655236430238
1997-04-17,5.771428571428571,8.980914286765794,-3.2094857153372223
1997-04-24,6.0,10.027441121003713,-4.027441121003713
1997-05-01,9.785714285714286,11.059073322965915,-1.2733590372516286
1997-05-08,10.014285714285716,12.060160154995929,-2.0458744407102127
1997-05-15,13.200000000000001,13.015514278670572,0.18448572132942864
1997-05-22,15.014285714285716,13.910642159636984,1.1036435546487322
1997-05-29,10.285714285714286,14.731963946851977,-4.44624966113769
1997-06-05,14.614285714285714,15.467019490468733,-0.8527337761830189
1997-06-12,19.52857142857143,16.104657372904327,3.423914055667101
1997-06-19,14.285714285714286,16.63520408532601,-2.3494897996117228
1997-06-26,14.1,17.050610783005176,-2.9506107830051764
1997-07-03,18.000000000000004,17.344575393135504,0.6554246068645
1997-07-10,17.314285714285713,17.512638222635786,-0.198352508350073
1997-07-17,19.11428571428571,17.552249615485877,1.5620360987998332
1997-07-24,18.314285714285713,17.462808633176373,0.8514770811093406
1997-07-31,17.014285714285712,17.24567217145674,-0.2313864571710269
1997-08-07,18.82857142857143,16.904134375073102,1.9244370534983268
1997-08-14,22.842857142857138,16.44337666279158,6.399480480065559
1997-08-21,21.95714285714286,15.870389120870037,6.086753736272822
1997-08-28,22.457142857142856,15.193864457506209,7.263278399636647
1997-09-04,18.371428571428574,14.424066127063291,3.9473624443652824
1997-09-11,14.971428571428573,13.57267262474067,1.3987559466879027
1997-09-18,13.114285714285714,12.652600313872039,0.4616854004136748
1997-09-25,10.514285714285714,11.677807473711379,-1.1635217594256648
1997-10-02,11.842857142857143,10.663082540468555,1.1797746023885889
1997-10-09,14.02857142857143,9.623819754158042,4.404751674413388
1997-10-16,7.8428571428571425,8.575785614888833,-0.7329284720316904
1997-10-23,7.142857142857143,7.534879691652215,-0.3920225487950715
1997-10-30,2.1714285714285713,6.516893412341442,-4.3454648409128716
1997-11-06,3.9857142857142853,5.53727049436382,-1.5515562086495343
1997-11-13,8.857142857142858,4.610872650316507,4.246270206826351
1997-11-20,3.628571428571429,3.7517541231701355,-0.12318269459870645
1997-11-27,0.3285714285714286,2.9729484714532255,-2.6443770428817968
1997-12-04,1.8142857142857143,2.286270839087445,-0.4719851248017306
1997-12-11,6.228571428571428,1.7021387096083735,4.526432718963054
1997-12-18,-0.38571428571428573,1.2294138640827583,-1.615128149797044
1997-12-25,2.885714285714286,0.8752679403549255,2.0104463453593606
1998-01-01,5.757142857142857,0.881145149061247,4.87599770808161
1998-01-08,6.685714285714286,0.6484336986350101,6.037280587079276
1998-01-15,7.328571428571429,0.5431151330989668,6.785456295472462
1998-01-22,3.3000000000000003,0.5667872246401657,2.7332127753598345
1998-01-29,-0.25714285714285706,0.7190908475025619,-0.976233704645419
1998-02-05,-0.914285714285714,0.9977154262300836,-1.9120011405157977
1998-02-12,6.342857142857143,1.3984339890608757,4.944423153796268
1998-02-19,8.357142857142856,1.9151672946829565,6.441975562459899
1998-02-26,8.499999999999998,2.540076059493823,5.959923940506175
1998-03-05,5.742857142857143,3.2636798861981218,2.479177256659021
1998-03-12,2.7571428571428567,4.075001089495384,-1.3178582323525272
1998-03-19,6.285714285714286,4.961731236899899,1.3239830488143864
1998-03-26,4.2,5.910417878126846,-1.7104178781268455
1998-04-02,10.228571428571428,6.9066686302011675,3.3219027983702603
1998-04-09,8.2,7.935369522144524,0.26463047785547555
1998-04-16,6.6571428571428575,8.980914286765794,-2.323771429622936
1998-04-23,9.571428571428571,10.027441121003713,-0.45601254957514215
